country	time	s_hat	s_var	C_bq1_bst	C_ba45_bst	C_bq1_biv	C_ba45_biv	C_bq1_ba1	C_ba45_ba1	C_bq1_ba2	C_ba45_ba2	C_bq1_ba45	C_ba45_ba45	C_bq1_bq1	C_ba45_bq1
ITALY	44844	0.066	1.34e-05	0.048116250522540115	0.11607100135571691	0.009573984363586165	0.009820044208246	0.00029560216179791145	0.002060600036066651	0.0019022981385612948	0.008896291626929254	0.012313273197586651	0.025432267703099035	0.0004732509357399724	0.0005454619024807492
ITALY	44851	0.067	9.2e-06	0.04429479677256766	0.1079753326534137	0.01410689740827611	0.014478958954869184	0.000267267601518422	0.0018664801666595477	0.0017264794102726275	0.00817614925381128	0.012374022476610928	0.025959183135236104	0.0007562021512089366	0.0008614369935948987
ITALY	44858	0.064	7.5e-06	0.040732605079052506	0.10034175488385295	0.019011306406298424	0.019530749001577592	0.00024162771022640791	0.0016902441677045272	0.001566298361671575	0.007505019288305729	0.012251890456582164	0.026187005123696466	0.0010846398011884193	0.0012307385732380604
ITALY	44865	0.059	6.1e-06	0.037430012146933034	0.09319676556638734	0.0237010648760886	0.024378744037783864	0.0002184271986264532	0.0015303026122002203	0.0014204802375411617	0.006880975736632877	0.011914822101523039	0.026058441185100645	0.0014073696926841148	0.0015977847973255533
ITALY	44872	0.056	6.6e-06	0.034359003348519816	0.08647473848932505	0.027204724807368963	0.028029871144871706	0.00019744327977872056	0.0013852345505085987	0.0012878222296794075	0.006301918817527657	0.011438661422667494	0.025676122420430665	0.0017272045601944908	0.0019657797258073964
ITALY	44879	0.055	5.9e-06	0.03150868667287694	0.08016288574221322	0.031465071616287664	0.032470096261804075	0.00017847737397494803	0.0012537532870565734	0.0011672920197298182	0.00576586090655075	0.010921570143971073	0.025180850477211036	0.0021103668585777348	0.0024080586313578716
ITALY	44886	0.053	5.5e-06	0.02887036220201331	0.07425395162651639	0.03531285303412824	0.036506840348814074	0.0001613485568619948	0.0011346768583154973	0.0010578306299630822	0.005270500867958807	0.010388811616530125	0.024608108804731237	0.0026203853725331578	0.0029952690582719767
ITALY	44893	0.048	6.8e-06	0.026429154129692878	0.06872003862456569	0.039038544777331693	0.040437682827054705	0.00014587877971847737	0.0010268626546238648	0.0009584021010517396	0.004813378165365113	0.009841370795339902	0.02395906538809628	0.0032312559369073257	0.0037005147013439736
ITALY	44900	0.039	7.7e-06	0.024170994023910965	0.06353484435504748	0.04283427838949454	0.044460581394035824	0.0001318915130312743	0.0009291978395006882	0.0008681495675416342	0.004392278437631462	0.009296223932570052	0.02325932772472681	0.003978533176217194	0.004564533380257665
ITALY	44907	0.035	1.09e-05	0.022095901307173666	0.058716426008398714	0.045531380049932076	0.04738303955624068	0.00011923848988818598	0.0008407161638254503	0.0007862159912472716	0.00400484694401357	0.008758726185927499	0.02251824603632104	0.00483120710193001	0.005555068030996495
ITALY	44914	0.032	1.19e-05	0.020177533629961143	0.0541977226216404	0.04897646880270693	0.05109186000299245	0.00010780003252169374	0.0007606012751021781	0.0007118804457408158	0.003648937469693139	0.008228052483067731	0.021736814697154168	0.005664584463040032	0.006536941939682043
ITALY	44921	0.033	1.63e-05	0.018423477402324428	0.05001981612464896	0.05034658028503618	0.052705635584301386	9.746047645261042e-05	0.0006880778231712848	0.0006444679946988732	0.0033224311684520186	0.007702381758458381	0.020914642848020054	0.0064001188960521324	0.00742407508557134
