country	time	s_hat	s_var	C_ba2_bst	C_ba1_bst	C_ba2_ba1	C_ba1_ba1	C_ba2_ba2	C_ba1_ba2
CANADA	44632	0.075	1.6e-06	0.40506878699811255	0.3849922521262087	0.05561705000096635	0.07846913178507314	0.019511561296520354	0.012072439597920414
CANADA	44639	0.076	1.8e-06	0.4023834469266541	0.3809064753323189	0.05433181865940706	0.07826581322082798	0.024532207147596716	0.015059945400845716
CANADA	44646	0.077	2e-06	0.39984573954125774	0.3769244452771203	0.052588377521664245	0.07744944186003387	0.02942354681577461	0.017868994510190243
CANADA	44653	0.077	2.6e-06	0.3968786580740764	0.3724914253539804	0.05052027212872214	0.07616393473986363	0.033725107503169205	0.02019589264897262
CANADA	44660	0.077	3.8e-06	0.3960200122735487	0.37010117785283003	0.0482330291534526	0.07452101396121066	0.0369526873552453	0.021733664451560344
CANADA	44667	0.076	6.3e-06	0.399035726463974	0.37148667068761454	0.04585314575783595	0.07266162690423443	0.03968571733314121	0.022894239376403638
CANADA	44674	0.072	9.3e-06	0.4029742984092367	0.3737657981191096	0.043434956314188616	0.070640521292811	0.04162028466998281	0.023490964933258245
CANADA	44681	0.066	1.49e-05	0.4051735950647153	0.37434173448326397	0.041027009310087605	0.06850801739152221	0.04327667742909323	0.023888090339482863
FINLAND	44582	0.105	5.22e-05	0.35079241215807533	0.3398767838778694	0.0283038331868947	0.036031076695865014	0.0008368715313481782	0.0005525230355120459
FINLAND	44589	0.093	2.4e-05	0.3954571871588609	0.3826285146388149	0.03919746275155515	0.05025076115097051	0.001999348505960555	0.0013145963199926894
FINLAND	44596	0.079	1.42e-05	0.4210268162815008	0.40654406720160857	0.04775191671949963	0.06182429511804189	0.003771363334635485	0.002461398268810833
FINLAND	44603	0.065	9.2e-06	0.4347005102928362	0.41869896510955457	0.053692319043951324	0.07035536138269759	0.006338444981843566	0.004106755959253789
FINLAND	44610	0.056	6.9e-06	0.4383176787487832	0.42091869192178916	0.056228517144435775	0.07481393897112953	0.008869367659649097	0.005674613947666517
FINLAND	44617	0.053	6.1e-06	0.43815519337465414	0.4193636910073801	0.05684093201303294	0.07695861426086884	0.011553783409127645	0.007297227811685294
FINLAND	44624	0.052	6e-06	0.4364060311250957	0.4161902681922284	0.056463336428722456	0.07790387771234966	0.0145171547987221	0.00905537000341112
FINLAND	44631	0.055	8e-06	0.43535577235505346	0.4136433203958599	0.05573186813313244	0.07841065659074027	0.018737307979614353	0.011599805683414642
FINLAND	44638	0.06	1.2e-05	0.4351152656977466	0.41183461079297373	0.05452392979323853	0.07830768406746641	0.02370477146212187	0.014564443480788473
FINLAND	44645	0.074	2.04e-05	0.431960446695068	0.40712682325990945	0.05284367331453907	0.07757745494803449	0.028624896050432922	0.017405629219291924
FINLAND	44652	0.082	2.82e-05	0.4274816609641496	0.4010906128737251	0.050824730233336016	0.07636360633150799	0.033078368940863516	0.01984625533718593
FINLAND	44659	0.086	4.41e-05	0.4223354510493654	0.3943816740308918	0.04856335967541877	0.07476606543593621	0.036436811153897394	0.021479881357626903
FINLAND	44666	0.081	5.56e-05	0.4164517199888974	0.38694478100318686	0.04619462566005696	0.07293583994728121	0.03927170071161801	0.0227145906679443
FINLAND	44673	0.067	0.0001028	0.4096323551711479	0.37860155284218727	0.04377806597930766	0.07093374968631531	0.041248516417635	0.02334202705276349
FRANCE	44582	0.096	1.44e-05	0.40715313137249154	0.39219301370845616	0.0283038331868947	0.036031076695865014	0.0008368715313481782	0.0005525230355120459
FRANCE	44589	0.088	5.7e-06	0.42304918817716874	0.4065381468912887	0.03919746275155515	0.05025076115097051	0.001999348505960555	0.0013145963199926894
FRANCE	44596	0.088	2.8e-06	0.43396744281774396	0.41591693805129065	0.04775191671949963	0.06182429511804189	0.003771363334635485	0.002461398268810833
FRANCE	44603	0.088	1.9e-06	0.4434963456055987	0.42385163679359394	0.053692319043951324	0.07035536138269759	0.006338444981843566	0.004106755959253789
FRANCE	44610	0.093	1.3e-06	0.44906458207218836	0.4278293475136123	0.056228517144435775	0.07481393897112953	0.008869367659649097	0.005674613947666517
FRANCE	44617	0.094	1.4e-06	0.44859779916287346	0.4258332865407773	0.05684093201303294	0.07695861426086884	0.011553783409127645	0.007297227811685294
FRANCE	44624	0.091	1.4e-06	0.4457895586025706	0.4214950638423826	0.056463336428722456	0.07790387771234966	0.0145171547987221	0.00905537000341112
FRANCE	44631	0.087	2e-06	0.4406363030640771	0.4148236589851578	0.05573186813313244	0.07841065659074027	0.018737307979614353	0.011599805683414642
FRANCE	44638	0.081	3.4e-06	0.43549811178742387	0.4081428987058304	0.05452392979323853	0.07830768406746641	0.02370477146212187	0.014564443480788473
FRANCE	44645	0.073	5.7e-06	0.43045751362223655	0.4015441008107746	0.05284367331453907	0.07757745494803449	0.028624896050432922	0.017405629219291924
FRANCE	44652	0.068	8.7e-06	0.42531709269195406	0.3948460436399159	0.050824730233336016	0.07636360633150799	0.033078368940863516	0.01984625533718593
GERMANY	44553	0.059	9.54e-05	0.3563279861348832	0.3462413426221872	0.0017380961776143511	0.0021919551338169365	5.402898663319744e-06	3.303211229658981e-06
GERMANY	44560	0.094	5.93e-05	0.37798596780533533	0.36653237995183763	0.0037117295941790007	0.0046863698642014215	1.9322315562924572e-05	1.2572833140414239e-05
GERMANY	44567	0.089	1.66e-05	0.40096053561582295	0.3880075323259958	0.008411312906604403	0.010619428628943458	7.688471059255536e-05	5.084613846646271e-05
GERMANY	44574	0.075	4.5e-06	0.4370841720061183	0.42223084308151826	0.016708959087088353	0.021141876795230285	0.00025226525003010274	0.0001668902691519038
GERMANY	44581	0.065	1.6e-06	0.46671668878994893	0.44995669518988973	0.026534888551294687	0.03375854624965196	0.0007107052001001289	0.0004691161060527186
GERMANY	44588	0.058	7e-07	0.4858003983370013	0.46722494239773515	0.03757589427617835	0.04812295114115881	0.0017660257758869507	0.0011616262147278276
GERMANY	44595	0.059	5e-07	0.4961499240463004	0.47582985631137664	0.04666294599331179	0.060322327371737636	0.0034533257948520415	0.0022558331918575256
GERMANY	44602	0.062	3e-07	0.5022211707797788	0.4801507838383761	0.053003429976828616	0.06932353794255745	0.00590621260990298	0.0038307725373914452
GERMANY	44609	0.064	3e-07	0.5056118191488316	0.4817620025358704	0.055936702567889275	0.07425920608875312	0.00843413727480395	0.005403647663108845
GERMANY	44616	0.065	3e-07	0.5077263363771817	0.4820483791743722	0.056767355423619624	0.07666732403997563	0.011063945459203296	0.006996517583733338
GERMANY	44623	0.063	3e-07	0.5081686465446431	0.4806315702508667	0.05651273812130011	0.07776296282528701	0.013963923753678423	0.008719568323712379
GERMANY	44630	0.062	4e-07	0.5083416939591994	0.478896685630109	0.055834483589008534	0.07833676631453021	0.017962878483367514	0.011124970637306292
GERMANY	44637	0.062	6e-07	0.5085099047563949	0.4771136309332928	0.05469945546189917	0.07832825036122693	0.02282600691727726	0.014031861608315037
GERMANY	44644	0.064	9e-07	0.5078060999348607	0.47444611249744145	0.05308623287591631	0.07768845741217202	0.02777710432140153	0.016906808150657728
GERMANY	44651	0.066	1.3e-06	0.5065990165245864	0.4712707561793991	0.051119021668976236	0.07654902781815699	0.032356966914277314	0.019444310200921956
GERMANY	44658	0.068	2.3e-06	0.5042219316861902	0.4669520089351218	0.04888826818132148	0.07500239060428486	0.03587313924425388	0.021192505339612824
