time_cut_off	date_cut_off	data_points	gamma_inf_new	b_new
44723	2022-06-12	63	1.0376379124855375	3.7246057377706934
44724	2022-06-13	67	1.0443930102018517	3.748853189999109
44725	2022-06-14	69	1.05266783938188	3.7785557248353494
44726	2022-06-15	70	1.0610255300468583	3.808555691327249
44727	2022-06-16	71	1.0689989336328614	3.8371762577007837
44728	2022-06-17	74	1.074125703183547	3.8555788189940303
44729	2022-06-18	75	1.0840061462195316	3.8910447116534392
44730	2022-06-19	77	1.0907827028717412	3.915369190824298
44731	2022-06-20	81	1.0970735819170156	3.9379503281417696
44732	2022-06-21	83	1.105478633963879	3.9681202985171
44733	2022-06-22	84	1.113793253253915	3.9979656601238918
44734	2022-06-23	85	1.1215220729838797	4.025708291697045
44735	2022-06-24	88	1.127063513891688	4.045599317605399
44736	2022-06-25	89	1.1361390284614323	4.078175916082531
44737	2022-06-26	91	1.142854155681328	4.1022798940426
44738	2022-06-27	95	1.1480911672929701	4.121078169686529
44739	2022-06-28	97	1.1562971279990462	4.150533500840109
44740	2022-06-29	98	1.1643297294141908	4.179366558075275
44741	2022-06-30	99	1.171967337797321	4.206781786127718
44742	2022-07-01	102	1.1780144202510217	4.22848781453398
44743	2022-07-02	103	1.1860480922991816	4.257324714810947
44744	2022-07-03	105	1.1925735897471597	4.280748015891309
44745	2022-07-04	109	1.1970826850948522	4.296933432983424
44746	2022-07-05	111	1.204704250984661	4.3242910764372775
44747	2022-07-06	112	1.2126476302567413	4.352803870407198
44748	2022-07-07	113	1.2203804156199423	4.380560736637863
44749	2022-07-08	116	1.2265987893286474	4.4028816157387105
44750	2022-07-09	117	1.2338636129318916	4.428958731224709
44751	2022-07-10	119	1.2405751603038873	4.453049859305385
44752	2022-07-11	123	1.2443402463619808	4.466564651861089
44753	2022-07-12	125	1.2511481090009875	4.491001504005842
44754	2022-07-13	126	1.2589898431992526	4.519149442547301
44755	2022-07-14	127	1.2666782151054599	4.546746886483578
44756	2022-07-15	129	1.272721212200633	4.5684382504778815
44757	2022-07-16	130	1.2800963808732675	4.594911450063776
44758	2022-07-17	132	1.2868196455464556	4.6190446374473435
44759	2022-07-18	135	1.2904142718746185	4.631947564071282
44760	2022-07-19	137	1.2972862020922635	4.656614387064373
44761	2022-07-20	138	1.3047859624110152	4.683534808898435
44762	2022-07-21	139	1.3126487397013225	4.711758281709043
44763	2022-07-22	141	1.3192244364190624	4.735361773283543
44764	2022-07-23	142	1.3275681819636596	4.765311683706018
44765	2022-07-24	144	1.334999158068871	4.7919852043105315
44766	2022-07-25	147	1.3391229962315199	4.806787739084388
44767	2022-07-26	148	1.3474646182427803	4.836730027074842
44768	2022-07-27	148	1.3562023982205371	4.8680943257853375
44769	2022-07-28	149	1.363951725788777	4.895910570331947
44770	2022-07-29	150	1.3731355670719072	4.92887600801144
44771	2022-07-30	151	1.3816824769899978	4.9595551778240345
44772	2022-07-31	153	1.3895298706970178	4.987723431196446
44773	2022-08-01	156	1.3944577427867417	5.005412049200408
44774	2022-08-02	157	1.4025445782909767	5.034439779930998
44775	2022-08-03	157	1.4112116082711041	5.0655501212215235
44776	2022-08-04	157	1.4198786382512318	5.096660462512049
44777	2022-08-05	157	1.4285456682313593	5.127770803802575
44778	2022-08-06	158	1.4372053610911493	5.158854808468177
44779	2022-08-07	159	1.4451481783847147	5.187365585213808
44780	2022-08-08	161	1.450874271306133	5.207919420317071
44781	2022-08-09	162	1.458553361750146	5.235483548404989
44782	2022-08-10	162	1.4671702796184272	5.266414012055089
44783	2022-08-11	162	1.4757871974867083	5.297344475705188
44784	2022-08-12	162	1.4844041153549896	5.328274939355287
44785	2022-08-13	162	1.4930210332232707	5.359205403005387
44786	2022-08-14	163	1.50091426397542	5.3875381886479055
44787	2022-08-15	164	1.5065415618879014	5.407737398642814
44788	2022-08-16	164	1.5151209716039409	5.438533226619551
44789	2022-08-17	164	1.5237003813199803	5.469329054596289
44790	2022-08-18	164	1.5322797910360195	5.500124882573027
44791	2022-08-19	164	1.5408592007520592	5.530920710549766
44792	2022-08-20	164	1.5494386104680986	5.561716538526503
44793	2022-08-21	164	1.558018020184138	5.592512366503241
44794	2022-08-22	165	1.564177536257925	5.614621975871083
44795	2022-08-23	165	1.5727341167886604	5.645335858389247
44796	2022-08-24	165	1.5812906973193956	5.676049740907411
44797	2022-08-25	165	1.5898472778501307	5.706763623425574
44798	2022-08-26	165	1.5984038583808657	5.737477505943737
