country	FLAI_time	t1	t2	s_hat	s_var	vaccinated	recovered	delta_recov	alpha_recov	alpha_count_t1	alpha_count_t2	delta_count_t1	delta_count_t2	av_cases	x_wt	x_delta	x_alpha
CA	44329	04/29/2021	05/29/2021	0.058	8.4e-06	0.367	0.093	6.128374987372853e-05	0.0022736261535075447	3394	1471	236	585	39.89	0.4343973155263695	0.05289135826101621	0.5127113262126143
CA	44336	05/06/2021	06/05/2021	0.078	6.7e-06	0.395	0.093	8.235015458881977e-05	0.0024042221377308243	3265	1256	248	980	34.57	0.42948940853045137	0.08282493684176066	0.487685654627788
CA	44343	05/13/2021	06/12/2021	0.091	6.8e-06	0.419	0.093	0.00011049978674969272	0.0025103546657715223	2751	1090	269	1628	30.6	0.40102137505475594	0.15755287671865362	0.4414257482265905
CA	44350	05/20/2021	06/19/2021	0.097	5.8e-06	0.439	0.093	0.0001509975473227349	0.002595329755395669	2053	917	318	2594	27.99	0.3427741087826832	0.2740441316230572	0.3831817595942596
CA	44357	05/27/2021	06/26/2021	0.098	4.5e-06	0.457	0.093	0.00020974105445748618	0.0026637003838535906	1574	773	503	4626	27.86	0.28546111703861504	0.4111011046500174	0.3034377783113675
CA	44364	06/03/2021	07/03/2021	0.104	4e-06	0.472	0.094	0.00029328601562170746	0.0027108410866188764	1298	605	849	8891	23.63	0.2341535393050142	0.5528950291588316	0.2129514315361542
CA	44371	06/10/2021	07/10/2021	0.111	4.4e-06	0.486	0.094	0.00039270966963361997	0.0027430879291429184	1145	442	1409	15225	27.25	0.16325781586698593	0.703437934142923	0.13330424999009108
CA	44378	06/17/2021	07/17/2021	0.114	5.1e-06	0.498	0.095	0.0005621076510647584	0.002765239891956079	958	322	2283	23703	41.93	0.10415064201822292	0.8316889814406866	0.06416037654109048
CANADA	44310	04/10/2021	05/10/2021	0.074	1.92e-05	0.027	0.031	5.866465369096748e-05	0.004562556137623048	6333	6761	70	692	208.68	0.3837641286971125	0.022678775101897156	0.5935570962009903
CANADA	44317	04/17/2021	05/17/2021	0.066	9.7e-06	0.031	0.033	0.00010092319027499294	0.005390651867265491	7150	5443	144	780	191.12	0.3581018699604738	0.038231092477826335	0.6036670375616999
CANADA	44324	04/24/2021	05/24/2021	0.055	6.5e-06	0.034	0.034	0.000156599079067449	0.006145306190790736	7765	4174	275	769	166.23	0.3454184566331452	0.05769324653404644	0.5968882968328084
CANADA	44331	05/01/2021	05/31/2021	0.05	4.3e-06	0.039	0.035	0.00022019384776108714	0.006782052400071673	7670	3139	454	826	135.03	0.33738892219166006	0.08016832422382736	0.5824427535845126
CANADA	44338	05/08/2021	06/07/2021	0.05	3.6e-06	0.047	0.036	0.000285850024839436	0.007273092340708493	7076	2438	645	992	100.32	0.34261043888312037	0.09922028458625337	0.5581692765306263
CANADA	44345	05/15/2021	06/14/2021	0.051	2.9e-06	0.063	0.036	0.0003485473861920256	0.007616125407908314	5827	1911	768	1161	69.91	0.341367587505524	0.1306278869454163	0.5280045255490597
CANADA	44352	05/22/2021	06/21/2021	0.055	3.2e-06	0.091	0.037	0.0004063959464910011	0.007840666627671454	4515	1372	775	1208	47.25	0.31877505657657723	0.18875005110758297	0.49247489231583974
CANADA	44359	05/29/2021	06/28/2021	0.057	4.3e-06	0.134	0.037	0.00045979011841306593	0.00798334188233815	3410	862	795	1121	32.67	0.28965391282161757	0.25934608359688543	0.45100000358149694
CANADA	44366	06/05/2021	07/05/2021	0.068	5.2e-06	0.194	0.037	0.0005101782373609975	0.008074084961951054	2606	420	940	1172	23.01	0.25698761446497365	0.3384978163452613	0.404514569189765
