country	FLAI_time	t1	t2	s_hat	s_var	vaccinated	vac_cor	recovered	boosted	delta_recov	omi_recov	omi_count_t1	omi_count_t2	delta_count_t1	delta_count_t2	av_cases	x_delta	x_omi
FINLAND	44544	11/30/2021	12/30/2021	0.119	1.35e-05	0.735	0.619	0.02	0.117	0.02	0.001	110	1098	1496	418	417.13	0.704440230843781	0.2955597691562284
FINLAND	44551	12/07/2021	01/06/2022	0.114	1.17e-05	0.736	0.576	0.022	0.152	0.022	0.003	309	1302	1547	211	660.59	0.4845589442876131	0.5154410557124075
FINLAND	44558	12/14/2021	01/13/2022	0.117	1.49e-05	0.737	0.549	0.024	0.195	0.024	0.007	491	1292	1317	103	946.81	0.3010400373468197	0.6989599626531833
FINLAND	44565	12/21/2021	01/20/2022	0.114	3.25e-05	0.737	0.516	0.025	0.245	0.025	0.013	824	1125	878	40	1203.5	0.1537512927291367	0.8462487072708665
FINLAND	44572	12/28/2021	01/27/2022	0.112	7.3e-05	0.738	0.433	0.026	0.299	0.026	0.02	1050	970	508	17	1332.56	0.08106474783504374	0.9189352521649577
CA	44542	11/28/2021	12/28/2021	0.198	5.2e-06	0.646	0.476	0.031	0.168	0.031	0.001	222	29329	18586	6487	212.29	0.5737036224312898	0.4261612847247832
CA	44549	12/05/2021	01/04/2022	0.145	1e-06	0.653	0.462	0.032	0.19	0.032	0.002	2945	26851	19126	2243	391.01	0.36810486321505087	0.6318292476957552
CA	44556	12/12/2021	01/11/2022	0.132	1.7e-06	0.659	0.447	0.033	0.211	0.033	0.005	11862	23022	18384	679	947.09	0.20057784999885375	0.7993880341794967
CA	44563	12/19/2021	01/18/2022	0.13	4e-06	0.666	0.432	0.034	0.232	0.034	0.013	21018	19458	13736	262	1627.78	0.08862686545668302	0.9113398928785182
NORWAY	44534	11/20/2021	12/20/2021	0.159	4.25e-05	0.707	0.568	0.032	0.145	0.032	0.005	31	1660	2831	1308	672.82	0.7391849394646997	0.2608150605353094
NORWAY	44541	11/27/2021	12/27/2021	0.108	6.1e-06	0.711	0.528	0.035	0.188	0.035	0.008	287	2203	2598	788	713.72	0.6165348068681364	0.38346519313188043
NORWAY	44548	12/04/2021	01/03/2022	0.098	4.7e-06	0.714	0.478	0.036	0.226	0.036	0.013	748	2808	2344	461	727.97	0.4653052170810506	0.5346947829189623
NORWAY	44555	12/11/2021	01/10/2022	0.101	5.7e-06	0.717	0.45	0.037	0.267	0.037	0.02	1115	3289	1938	272	814.71	0.2879171852651321	0.712082814734884
NORWAY	44562	12/18/2021	01/17/2022	0.111	1.19e-05	0.72	0.434	0.038	0.311	0.038	0.032	1508	3221	1445	111	1028.83	0.15381394765356568	0.8461860523464328
NORWAY	44569	12/25/2021	01/24/2022	0.119	3.01e-05	0.722	0.374	0.039	0.356	0.039	0.049	2051	3150	934	41	1539.69	0.08416833316574221	0.9158316668342501
