country	time	s_hat	s_var	C_ba45_bst	C_ba2_bst	C_ba45_ba1	C_ba2_ba1	C_ba45_ba2	C_ba2_ba2	C_ba45_ba45	C_ba2_ba45
FINLAND	44750	0.066	2.04e-05	0.24165889878643557	0.35875610429720556	0.00752943652953828	0.020632247587907496	0.02323536508053338	0.04192558477058141	0.009094680119368474	0.00973369306360858
FINLAND	44757	0.062	2.92e-05	0.23247066471476965	0.34915100555218875	0.006858783173131167	0.01904269420014951	0.022049873661446413	0.040743876528865484	0.01245749901914339	0.01335522081299742
FINLAND	44764	0.068	6.35e-05	0.22577619926781883	0.34182666064484357	0.006243474125090647	0.017547774418720116	0.020805945635271612	0.03940725554760708	0.015327167148330491	0.016478098853787045
FINLAND	44771	0.073	0.0001404	0.21933097274841187	0.3343950379604452	0.005679672038768674	0.016146037046668674	0.019548720952145243	0.03797232837993885	0.01765730785881938	0.019051641507404304
FRANCE	44689	0.113	1.17e-05	0.28174644607542676	0.39027879392706677	0.01632493592957455	0.03830843408686036	0.029669399550794624	0.044525522080050534	0.00011829151248075229	0.0001282532089380973
FRANCE	44696	0.113	6.4e-06	0.27182373740200594	0.3824292466893999	0.01500719558547412	0.03598074747729238	0.029649760986768917	0.04530926930996154	0.0002034843005645211	0.0002192726163810086
FRANCE	44703	0.111	3.9e-06	0.2617283999932422	0.3739960951705124	0.01377536722077474	0.033713996735853215	0.02931240498883073	0.045668906444029746	0.0003465448350092675	0.00037210272633654605
FRANCE	44710	0.104	2.4e-06	0.25081463223428774	0.3642569596274446	0.012627874381252005	0.03151834518413949	0.028674308906200947	0.04561240230662312	0.0005602485670878581	0.0006006670122038574
FRANCE	44717	0.093	1.7e-06	0.24080545176395646	0.3550485037251986	0.011562193996352088	0.029401914895931643	0.027925632055793695	0.04537003220181677	0.0009526451459875449	0.0010197972015341878
FRANCE	44724	0.086	1.5e-06	0.2307780416016549	0.34536911455710373	0.010574830446866358	0.027370527902292403	0.02707261851658631	0.04494149343708709	0.0016047119216187	0.001716314959032164
FRANCE	44731	0.083	1.7e-06	0.22156059137359324	0.3361122006822568	0.009662024304611565	0.02542869639816692	0.026141734193281158	0.044353683950110794	0.0026845150775931395	0.002870001518851131
