	WT	DELTA	OMI	ALPHA	BA.1	BA.2	BA.4/5	BQ.1	BA.4.6	BF.7	XBB	CH.1	BN.1	BM.1.1
44874	0.9997849798934838	0.00020487497925132818	0.28502968872488543	7.518219341871042e-07	0.00024034839102268776	0.001035562419362596	0.2837443846091695	0.41550118085482196	0.01953027916329414	0.1905055519808176	0.028272288026544374	0.0026924206234414964	0.02435344176287272	0.00951075938569204
44875	0.999784829712101	0.00020498949190985718	0.2759889738745647	9.201460131051401e-07	0.00026301104053151245	0.0010303449602729756	0.27468635722378426	0.4251971474774819	0.01887982825889893	0.18900282651831796	0.029194050092533244	0.002859212016056995	0.024931201268406027	0.009330156632301726
44876	0.9997812804860536	0.00020853048270869703	0.267257783966182	1.0707032177373639e-06	0.0002832295662704469	0.0010251527539039298	0.2659402833179876	0.43465668842044697	0.0182696324230723	0.18740588223962185	0.030104775409559394	0.0030348768527470316	0.025508764772801652	0.009149030796098606
44877	0.9997750966435898	0.00021475313855158962	0.2587309502559704	1.1940425948453461e-06	0.00030037186086271777	0.0010184089443185153	0.2574032132755254	0.4439970905864741	0.01769572743458487	0.18568875186850034	0.031034548537808775	0.003220177247281621	0.026078677941043685	0.008965478984035019
44878	0.9997668317288706	0.0002231222073780958	0.2503237010364287	1.2855811895635343e-06	0.00031466369871295215	0.0010084130890672702	0.24899186376608673	0.4533084541883393	0.017152728060605946	0.18383045345469418	0.03201192691383486	0.003415501112668943	0.026633757885126248	0.008777946472332125
44879	0.9997567853855889	0.00023335336299592222	0.24199594698792598	1.3454715110764233e-06	0.0003268227457559087	0.000993624295901376	0.2406669841663645	0.4626232313825976	0.01663447442581588	0.181824754465109	0.03305701013138361	0.0036204609619745524	0.02716946376290111	0.008586138966444258
44880	0.9997451088966579	0.00024530764798768434	0.23375017812339408	1.3775439938401048e-06	0.00033765842107995705	0.0009729911321594034	0.23243132265879424	0.4719179706815089	0.016133425107336445	0.17968364515896795	0.03417834781186795	0.0038337469425426115	0.02768640141244589	0.008390703631217388
44881	0.9997318872369984	0.0002589102816028799	0.22561293824893638	1.3877809008175497e-06	0.0003477640781829325	0.0009462295917666685	0.2243111298784887	0.48113576480887527	0.01564066968254296	0.1774346318254309	0.0353738533239428	0.004053342224701994	0.028191223133486206	0.008192134427432416
44882	0.9997171124412524	0.00027417770790583255	0.21761655843303768	1.3827841973229206e-06	0.0003573601668244869	0.0009139308687056777	0.21633794033086298	0.49021022780683066	0.015147817762250798	0.17511432832543866	0.036633977554008386	0.004277020732452416	0.02869469580536539	0.007989782631711182
44883	0.9997005978997762	0.0002913019073328639	0.20979269383016638	1.3685856839153656e-06	0.00036629774940494654	0.0008774489263466385	0.20854221554720764	0.49907700585465303	0.014650268307967267	0.17276209115835695	0.03794477023812234	0.004502863483601674	0.029207295985090424	0.007781701405072399
44884	0.9996819682457316	0.00031065671290946614	0.20217769664297383	1.3499553145749114e-06	0.00037419545030105737	0.0008386194071280782	0.20095885669950045	0.5076715079718491	0.01414989213744301	0.17041618331541464	0.03928952067272354	0.004729518658584352	0.029734411696643766	0.007565480358857517
44885	0.9996608301593675	0.0003326216755026872	0.19482022700302698	1.3301709614883797e-06	0.0003806569193465535	0.0007994179492955039	0.19363493414021657	0.5159232489440463	0.013655112192462559	0.16811158611311072	0.04064952249034125	0.004956153081682541	0.03027379367333738	0.007339592170999244
44886	0.9996370914520415	0.0003572585524398105	0.1877799536987575	1.3110900415686221e-06	0.00038549741276763046	0.0007616580327694659	0.18662845934774325	0.5237600434090754	0.013177837247639225	0.16587633618291486	0.04200552798206565	0.005182329868288379	0.030816597973780804	0.007104454365264508
44887	0.9996112515705922	0.00038402042305039376	0.18111319797180567	1.2933347278046318e-06	0.00038889332434466584	0.0007267808975029728	0.17999408907832848	0.5311269632822273	0.012728656741289075	0.16372503704648617	0.04334074051277301	0.005408133321309292	0.03135098459971953	0.0068626159491353275
44888	0.9995844684257329	0.0004116907011088486	0.17485179904603998	1.276449453191308e-06	0.00039137549884261436	0.0006957323592426191	0.17376212676424954	0.5380113029662533	0.012312773910402173	0.16165269828848283	0.04464436194234178	0.005634628663863402	0.031865697070638806	0.0066180758121328126
44889	0.999558340415176	0.00043861274280738847	0.16898803021543257	1.2589751657124563e-06	0.00039364794119395503	0.0006688940758580108	0.16792370033152984	0.5444564174843946	0.01192870022426302	0.15963458621371557	0.0459134709719991	0.005864336461590912	0.0323515966266507	0.00637524982124285
44890	0.9995345118251446	0.00046309837038850085	0.1634759051935264	1.238472713757659e-06	0.000396310917120799	0.0006460659649642169	0.16243237697968832	0.5505519229385569	0.011570128589093065	0.1576350943193334	0.04715168126089174	0.006101168125953507	0.03280110817976557	0.006138119463005344
44891	0.9995142819283913	0.00048382966150381946	0.15824888442602925	1.2115902537325229e-06	0.0003996208310960606	0.0006265378843651742	0.15722204889071678	0.5564031164675594	0.0112296152532338	0.15562235956926335	0.04836519020690648	0.006349521589054289	0.03320712927643615	0.005909741347069316
44892	0.9994983532582923	0.000500113822375456	0.15324366102409834	1.1742906736764323e-06	0.0004033786380915619	0.0006092702576939931	0.1522306534996541	0.562096582321358	0.010901784942627064	0.1535806117331578	0.04955865492512582	0.006612898843557593	0.033562910339641414	0.005692047967125963
44893	0.9994867648214321	0.000511943867671922	0.1484171825663146	1.1223294219459962e-06	0.00040695545883361636	0.0005931294461658574	0.14741692867984096	0.5676802358912973	0.01058433310959893	0.15151335094749926	0.05073339889181616	0.00689292062429246	0.03386308858940697	0.005485902911522294
44894	0.999478985963047	0.0005198922320974395	0.1437502885537332	1.0520060250175958e-06	0.00040942410963362025	0.0005770781657618025	0.14276371647950714	0.5731642805059316	0.01027676404489462	0.14943681247431553	0.051888855008299734	0.007189426779566224	0.034104856463291824	0.005291420356702634
