country	time	s_hat	s_var	C_omi_vac	C_delta_vac	C_omi_bst	C_delta_bst	C_omi_alpha	C_delta_alpha	C_omi_delta	C_delta_delta	C_omi_omi	C_delta_omi	new_cases_1	new_cases_2	R_inst	Fabs
BELGIUM	44554	0.121	7.5e-06	0.009780166917184977	0.16848854664258384	0.3137526015347506	0.3367896149147613	6.100743843807482e-05	0.0014198624384764642	0.004473842835399968	0.061465844985445627	0.0026290571496791477	0.00026166180964968595	0.0006652577204196529	0.0011886510234563152	1.1409542454696628	0.04145713102048907
BELGIUM	44561	0.131	1.35e-05	0.00863845359241131	0.15204455120326243	0.334951358825731	0.3612387592392529	5.533167524719488e-05	0.0012927390032407696	0.004306669831613409	0.06237654995959078	0.004869930792443851	0.0004858368500459326	0.0007072834345073954	0.0018752409079234272	1.236800511900209	0.0696472093824144
BELGIUM	44568	0.137	2.64e-05	0.007179177870787285	0.12464894629950535	0.38951969882201604	0.42096595161093636	5.038440527464674e-05	0.001178237580331084	0.004203754182600889	0.06366937390971338	0.011067768462901143	0.0011229549926455305	0.0011886510234563152	0.0028587371815738533	1.2131219357791925	0.06268292228799778
BELGIUM	44575	0.14	5.29e-05	0.005961265039026044	0.10120683265266894	0.44386720353128695	0.48094730242189504	4.568679692307295e-05	0.0010718347766708882	0.00400174034654587	0.06388709395321833	0.019893718050820273	0.0019888430354498806	0.0018752409079234272	0.003961826209106936	1.1816493586747037	0.053426281963148116
GERMANY	44544	0.144	5.7e-06	0.012447073215803935	0.18471507388979647	0.23997492322591896	0.2554742983956246	3.9461946269647296e-05	0.0009154369907153865	0.0021594097377373397	0.02735749527348078	0.0002804130347883809	2.900638730203687e-05	0.0006045445374027944	0.00039582912472565374	0.8971517658482461	-0.03024948063286879
GERMANY	44551	0.136	2.1e-06	0.011543774157275088	0.16164934434280534	0.31063708154569586	0.3312149137542226	3.566983176610296e-05	0.0008327508249012218	0.0022500851915060803	0.02950954363990818	0.0006845029978714444	7.023874957221358e-05	0.0005332036302190217	0.00035864859107031285	0.9036924882488887	-0.028325738750326845
GERMANY	44558	0.131	1.2e-06	0.010728762624968722	0.14916036222728773	0.33890745241364423	0.36292109362056285	3.2241185491923333e-05	0.0007570903122975511	0.0022038335177979006	0.030411818008297935	0.0012326398551175991	0.00012326236942223693	0.00039582912472565374	0.0005374020571861331	1.07425694940074	0.02184027923551171
GERMANY	44565	0.125	1.1e-06	0.009968472278257081	0.13761893853076543	0.3596507880035582	0.3870208679338142	2.914134035698798e-05	0.0006879344621505204	0.00213470195707324	0.031007661103178378	0.002417259828914682	0.00024101790275404624	0.00035864859107031285	0.0007675369818330853	1.1847763050330828	0.05434597206855378
GERMANY	44572	0.129	1.8e-06	0.009626015768896195	0.1260684018896284	0.39271800511536387	0.42435408207573067	2.633890467624821e-05	0.0006247877551899875	0.002048713499528341	0.03134964573253126	0.004645540654528179	0.0004602328963981446	0.0005374020571861331	0.0011902197783847954	1.19310706362218	0.056796195182994176
GERMANY	44579	0.133	4.1e-06	0.009339278254813859	0.11615886711662092	0.4241531964088319	0.46034865755461774	2.3805458364067042e-05	0.000567181340394465	0.0019593807864155357	0.03154512974583452	0.009288007290543432	0.000921881520076367	0.0007675369818330853	0.0017150235749485332	1.195256036092039	0.057428245909423255
