country	time	s_hat	s_var	C_delta_vac	C_alpha_vac	C_delta_alpha	C_alpha_alpha	C_delta_delta	C_alpha_delta	new_cases_1	new_cases_2	R_inst	Fabs
JAPAN	44332	0.042	1.13e-05	0.012477027913542025	0.013941548669218751	0.0009035864849062289	0.0012778730334827816	1.0996681616661172e-05	7.113307970824016e-06	4.527143168536596e-05	3.409113168721512e-05	0.8966743993362237	-0.02025992169877967
JAPAN	44339	0.054	8.9e-06	0.019750045871180268	0.022026750485203125	0.0010427599569919099	0.001490174664054292	1.4766329022442828e-05	9.463762268884304e-06	4.406273528921509e-05	2.436376069034457e-05	0.7841542992893503	-0.042322686413852874
JAPAN	44346	0.065	7.4e-06	0.02387116169914225	0.02673229236204444	0.0011306989930339286	0.001639125421632056	1.8711539779919866e-05	1.1863147679449398e-05	3.409113168721512e-05	1.714444888211123e-05	0.749603536212512	-0.04909734584068395
JAPAN	44353	0.075	7.5e-06	0.0325893164105939	0.03650853819842437	0.0011731648676705346	0.0017307694315064181	2.3215584364067562e-05	1.4570166106098256e-05	2.436376069034457e-05	1.2891061564010765e-05	0.7681093234623281	-0.04546876010542587
JAPAN	44360	0.08	5.2e-06	0.04724889371408941	0.052865658015137644	0.0011862968930384423	0.001785033231485707	2.8846236682848638e-05	1.7961048125514204e-05	1.714444888211123e-05	1.1577532147096753e-05	0.8569784761025183	-0.028043436058329756
JAPAN	44367	0.081	4.1e-06	0.07066176592066868	0.07893885025438957	0.001179740068329603	0.0018136208699144148	3.58058500164096e-05	2.2154988560641988e-05	1.2891061564010765e-05	1.216799705323331e-05	0.9789716594535907	-0.0041232040287077125
JAPAN	44374	0.085	2.6e-06	0.09864106978051833	0.11023171957371226	0.0011691941767178094	0.0018365085328183551	4.7905080975274564e-05	2.972192717038106e-05	1.1577532147096753e-05	1.4160391112711206e-05	1.0733607215134897	0.014384455198723459
JAPAN	44381	0.088	1.9e-06	0.12812980051754577	0.14345989960363564	0.00115364917250111	0.0018519676368119757	6.806519670144683e-05	4.2550577659263255e-05	1.216799705323331e-05	1.972844117767975e-05	1.1760417986920373	0.03451799974353671
JAPAN	44388	0.086	1.1e-06	0.15538391900029982	0.17455033878440868	0.0011367629684302795	0.0018644155772694214	0.00010555441805876207	6.68005314416695e-05	1.4160391112711206e-05	2.8458481814857286e-05	1.254270531655155	0.049856966991206855
JAPAN	44395	0.088	9e-07	0.182651770046346	0.20595829450470074	0.0011220967409023748	0.0018782610792715143	0.0001840346324068016	0.00011823588360197732	1.972844117767975e-05	5.415163854147452e-05	1.3678290934161623	0.0721233516502279
JAPAN	44402	0.088	9e-07	0.2049404669737502	0.23223785387607432	0.001104634932062409	0.001886729026301153	0.0003167169034644956	0.00020492499353495515	2.8458481814857286e-05	9.215219190569128e-05	1.428033974237707	0.08392823024268768
JAPAN	44409	0.086	1e-06	0.23335050258222367	0.26549238087910587	0.0011040952204378488	0.0019155180031832596	0.0006612498483865242	0.0004333323614847676	5.415163854147452e-05	0.00012071210675144914	1.292018785417247	0.05725858537593078
JAPAN	44416	0.081	1.3e-06	0.2578271343449009	0.29478900211490955	0.0010967530665781451	0.0019336369339765377	0.001226756445691328	0.0008050231561637254	9.215219190569128e-05	0.0001559507350172884	1.1916502356469953	0.03757847757784223
JAPAN	44423	0.075	2.2e-06	0.2805966141368718	0.3225523481521998	0.0010714807699802671	0.0019259411757133135	0.0019566224551238218	0.0012774650048176645	0.00012071210675144914	0.00017742563765438542	1.1403021477852324	0.027510225055927918
JAPAN	44430	0.07	4.7e-06	0.3037421749902076	0.35101370095089685	0.001038985451620504	0.0019059604392900123	0.0029724139375211507	0.0019300012876956381	0.0001559507350172884	0.00015290661076031598	0.992818905526088	-0.0014080577399827512
TX	44315	0.041	5.83e-05	0.19809097721699775	0.22749298857757355	0.003775473808206578	0.005754010488199822	2.7145402461971144e-05	1.6656852483417273e-05	0.00011324461279951792	8.560741797307822e-05	0.8980807781075109	-0.019984161155390034
TX	44322	0.05	3.98e-05	0.2136601009235452	0.24671525557670554	0.0039647092339220305	0.00612085551241858	3.703105072251417e-05	2.2937509897133977e-05	0.00010185594166725995	7.30472846498976e-05	0.8788922991954007	-0.02374660800090183
TX	44329	0.067	2.86e-05	0.2281516201467174	0.2649619679784306	0.004064210786393289	0.006372731785416672	4.6037308712840915e-05	2.844325258619646e-05	8.560741797307822e-05	6.264136736399953e-05	0.8862167933081166	-0.02231043268468302
TX	44336	0.092	2.39e-05	0.23930131603627516	0.279742744364707	0.0041162657045593215	0.006562846738365997	5.8088587413426084e-05	3.585562040629086e-05	7.30472846498976e-05	4.7730957385808325e-05	0.8449866740177603	-0.030394769800439172
TX	44343	0.109	2.17e-05	0.24513437513081526	0.28886292033761946	0.004110721423991652	0.006675323375334784	7.966150716471438e-05	4.9542660845882886e-05	6.264136736399953e-05	5.955341263478932e-05	0.9815845268764035	-0.003610877083058138
TX	44350	0.111	1.77e-05	0.2468931987928181	0.2936282278813872	0.004001716240751763	0.0066477145109829225	0.00010108558234406256	6.268345255788389e-05	4.7730957385808325e-05	5.974212097935107e-05	1.0817665246460957	0.016032651891391306
TX	44357	0.111	1.22e-05	0.250696690634848	0.30066822106220376	0.003975856585627135	0.006722568607146763	0.0002090346264431502	0.00013446645509183653	5.955341263478932e-05	3.92023205146526e-05	0.8476784240895702	-0.029866975668711725
TX	44364	0.112	9.4e-06	0.25852800919914387	0.3121505617112086	0.003840843321694004	0.006647806240964747	0.0002928825539337344	0.00018744164122372245	5.974212097935107e-05	4.525569208699486e-05	0.8988346290433874	-0.019836347246394624
TX	44371	0.113	9e-06	0.258635138631782	0.31526445070188325	0.0036809580749097986	0.006530709097821893	0.0004053527259620009	0.00025820908524729167	3.92023205146526e-05	5.197812051733435e-05	1.1027602383881523	0.020149066350618087
TX	44378	0.122	1.13e-05	0.25989144422217786	0.3196133187312025	0.003512539212106038	0.006391627313762793	0.0006076296055716843	0.0003878314685010977	4.525569208699486e-05	6.935644352117373e-05	1.155524719044558	0.030495042949913335
FRANCE	44322	0.033	3.93e-05	0.08421332785866278	0.09622446310154988	0.016384320429475477	0.025318373237603036	7.98692685136407e-05	5.13695258688146e-05	0.00033854676515084157	0.00021754662530670325	0.838894992537441	-0.03158921714952136
FRANCE	44329	0.053	2.44e-05	0.09718662393673981	0.11131789551734947	0.01660496214205845	0.026099967589105395	0.00010067440654606888	6.399125281534872e-05	0.0002635913669552544	0.00016888404378392796	0.8378244794131231	-0.031799121683701366
FRANCE	44336	0.075	2.3e-05	0.10638185292772254	0.12242040086633503	0.016635816469570207	0.026628626608339673	0.00011801980068391839	7.389382192484243e-05	0.00021754662530670325	0.00013317823347190616	0.8212359422538464	-0.03505177602865756
FRANCE	44343	0.115	2.42e-05	0.11545016251409308	0.13349181005611782	0.016395731163632958	0.026790823105950677	0.00014113901463503004	8.740234347369807e-05	0.00016888404378392796	0.00010018878958542587	0.809786011827256	-0.03729686042602825
FRANCE	44350	0.133	2.01e-05	0.13099294254022623	0.15175272988302724	0.01601536218988376	0.026747414018010115	0.0001845279105295657	0.000114165069374926	0.00013317823347190616	5.916148607703282e-05	0.7044121690242506	-0.0579583982305391
FRANCE	44357	0.123	9.8e-06	0.14928482331270737	0.17318557747136948	0.015513481479204354	0.026515273002526023	0.00026117579065299457	0.00016275271961704968	0.00010018878958542587	3.66285697334904e-05	0.6334455972360928	-0.07187341230664847
FRANCE	44364	0.122	7.2e-06	0.17244724543522957	0.20013028126647872	0.014787551032942527	0.02595132503612734	0.0003449385438233255	0.00021476729851767736	5.916148607703282e-05	3.0113104243209565e-05	0.7539940965410515	-0.04823645165861735
