country	time	s_hat	s_var	C_alpha_vac	C_wt_vac	C_alpha_wt	C_wt_wt	C_alpha_alpha	C_wt_alpha	new_cases_1	new_cases_2	R_inst	Fabs
TX	44237	0.08	6.2e-06	0.027881277642028735	0.029369168263855168	0.05094085433176215	0.05094085433176215	0.0009893500006142274	0.0008631179709550796	0.0005507367259548251	0.00023610354814085948	0.6370058236323205	-0.06049902939461325
TX	44244	0.11	7e-06	0.03886936849166377	0.04102137594089986	0.05098708377295598	0.05098708377295598	0.0012787480038855459	0.0011087039683063957	0.00033808937996736386	0.00022632992634713224	0.828007208937285	-0.02866546517711917
SWITZERLAND	44193	0.091	5.34e-05	0.0	0.0	0.036658994895906946	0.036658994895906946	0.00012766663890915206	0.00011159803436929772	0.00044032419242590943	0.0003788163274016862	0.9355172314722005	-0.0107471280879666
SWITZERLAND	44200	0.085	1.91e-05	0.0	0.0	0.03818852001021465	0.03818852001021465	0.0002443393219210798	0.00021309959908115042	0.00039314220988834046	0.00031118636042235366	0.8998088108841742	-0.01669853151930431
SWITZERLAND	44207	0.089	8.7e-06	0.0	0.0	0.03973498112845925	0.03973498112845925	0.00043459798792220184	0.0003783407073712699	0.0003788163274016862	0.0002384341528513959	0.8015893086534294	-0.03306844855776177
SWITZERLAND	44214	0.109	6.8e-06	9.199852793482573e-05	9.611329000068971e-05	0.04034982985478022	0.04034982985478022	0.0006289558839833195	0.0005453153146985249	0.00031118636042235366	0.00020623369959620944	0.8236934403417433	-0.029384426609709444
NETHERLANDS	44188	0.102	0.0001256	0.0	0.0	0.031381626227310284	0.031381626227310284	0.00022202154854751477	0.00019513276312400446	0.0006117127175801866	0.0004923066613056777	0.9069310261760989	-0.015511495637316854
NETHERLANDS	44195	0.085	4.06e-05	0.0	0.0	0.03386034123749327	0.03386034123749327	0.0004507549162806246	0.0003950208377288512	0.0006014974021903935	0.00041127042769845183	0.8370694670890408	-0.0271550888184932
NETHERLANDS	44202	0.072	1.88e-05	0.0	0.0	0.03551302683643497	0.03551302683643497	0.0007744497252815545	0.0006764791089460398	0.0004923066613056777	0.0003422504995314185	0.8441890454532405	-0.025968492424459925
NETHERLANDS	44209	0.055	9.5e-06	0.0	0.0	0.036716531575088	0.036716531575088	0.001163849806748686	0.0010126212676865509	0.00041127042769845183	0.0002943350136639829	0.8566289919126443	-0.023895168014559282
NETHERLANDS	44216	0.058	8.2e-06	0.0	0.0	0.03735025239876858	0.03735025239876858	0.0015430450069488582	0.0013359386321037247	0.0003422504995314185	0.0002526460453610916	0.8699056665395659	-0.02168238891007235
NETHERLANDS	44223	0.123	1.44e-05	0.0	0.0	0.037719240012672565	0.037719240012672565	0.0019522635945803158	0.0016817922733084192	0.0002943350136639829	0.00021302010492193598	0.8614291127297243	-0.023095147878379275
